Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
54.91025912,59.38148763,137.621858,143.9138588,89.63105751,90.28030834,76.20035892,77.64421981,61.06495373,63.64994864,89.07225218,89.99935002
54.95206133,59.42872621,137.745206,144.0430554,89.70304619,90.35423635,76.26613563,77.71075642,61.11183677,63.69970355,89.14079737,90.06826767
54.99359678,59.47566339,137.8677608,144.1714226,89.77457368,90.42769054,76.33149304,77.77686802,61.15841723,63.74913656,89.20890451,90.13674406
55.03486886,59.52230301,137.9895326,144.298971,89.84564585,90.50067695,76.3964365,77.84256003,61.20469898,63.79825178,89.27657919,90.20478482
55.07588089,59.56864881,138.1105313,144.4257109,89.91626846,90.5732015,76.46097122,77.90783775,61.25068581,63.84705326,89.34382687,90.27239547
55.11663614,59.6147045,138.2307668,144.5516525,89.98644715,90.64527,76.52510233,77.97270637,61.29638145,63.89554495,89.41065291,90.33958139
55.15713781,59.66047368,138.3502484,144.6768058,90.0561875,90.71688816,76.58883486,78.037171,61.34178954,63.94373075,89.47706257,90.40634792
55.19738904,59.70595991,138.4689856,144.8011806,90.12549492,90.78806156,76.65217375,78.10123665,61.38691367,63.99161447,89.54306102,90.47270024
55.23739292,59.75116667,138.5869877,144.9247865,90.19437477,90.8587957,76.71512385,78.16490825,61.43175736,64.03919987,89.60865332,90.53864346
55.27715248,59.79609738,138.7042635,145.047633,90.2628323,90.92909596,76.77768991,78.22819061,61.47632406,64.08649062,89.67384446,90.60418262
55.31667069,59.84075541,138.8208221,145.1697293,90.33087265,90.99896764,76.8398766,78.29108847,61.52061716,64.13349032,89.73863931,90.66932263
55.35595046,59.88514404,138.9366721,145.2910845,90.39850087,91.06841593,76.90168852,78.35360649,61.56463999,64.18020254,89.80304268,90.73406832
55.39499467,59.92926653,139.0518221,145.4117075,90.46572194,91.13744594,76.96313015,78.41574923,61.60839581,64.22663073,89.86705926,90.79842445
55.43380613,59.97312604,139.1662804,145.5316072,90.53254072,91.20606266,77.02420593,78.47752119,61.65188783,64.27277833,89.9306937,90.86239568
55.47238761,60.0167257,139.2800554,145.6507922,90.59896201,91.27427102,77.08492019,78.53892676,61.69511921,64.31864868,89.99395053,90.92598658
55.51074182,60.06006858,139.393155,145.7692709,90.6649905,91.34207586,77.14527721,78.59997028,61.73809304,64.36424509,90.05683421,90.98920166
55.54887142,60.1031577,139.5055874,145.8870516,90.73063082,91.40948191,77.20528118,78.66065599,61.78081237,64.40957079,90.11934912,91.05204533
55.58677904,60.14599601,139.6173602,146.0041425,90.7958875,91.47649385,77.26493621,78.72098809,61.82328016,64.45462896,90.18149958,91.11452194
55.62446726,60.18858642,139.7284811,146.1205516,90.86076501,91.54311626,77.32424635,78.78097066,61.86549937,64.49942273,90.24328981,91.17663575
55.6619386,60.2309318,139.8389578,146.2362868,90.92526772,91.60935363,77.38321557,78.84060774,61.90747288,64.54395517,90.30472397,91.23839095
55.69919556,60.27303495,139.9487976,146.351356,90.98939995,91.6752104,77.44184778,78.8999033,61.94920351,64.58822929,90.36580615,91.29979166
55.73624057,60.31489864,140.0580079,146.4657666,91.05316592,91.74069091,77.50014683,78.95886124,61.99069406,64.63224807,90.42654037,91.36084194
55.77307604,60.35652558,140.1665957,146.5795261,91.11656981,91.80579944,77.55811649,79.01748538,62.03194726,64.67601441,90.48693056,91.42154575
55.80970434,60.39791843,140.2745681,146.6926421,91.17961569,91.87054019,77.61576047,79.07577949,62.07296581,64.71953119,90.54698063,91.48190702
55.84612778,60.43907983,140.3819321,146.8051216,91.24230759,91.9349173,77.67308242,79.13374727,62.11375234,64.76280122,90.60669437,91.54192959
55.88234865,60.48001235,140.4886945,146.9169717,91.30464946,91.99893482,77.73008593,79.19139236,62.15430946,64.80582726,90.66607554,91.60161725
55.9183692,60.52071853,140.5948619,147.0281996,91.36664519,92.06259675,77.78677452,79.24871834,62.19463973,64.84861205,90.72512784,91.6609737
55.95419163,60.56120087,140.700441,147.138812,91.42829861,92.12590703,77.84315167,79.30572873,62.23474567,64.89115827,90.78385488,91.72000261
55.98981812,60.60146182,140.8054382,147.2488158,91.48961347,92.1888695,77.89922079,79.36242698,62.27462974,64.93346853,90.84226025,91.77870758
56.0252508,60.64150379,140.9098598,147.3582176,91.55059348,92.25148799,77.95498524,79.41881652,62.31429437,64.97554545,90.90034744,91.83709215
56.06049177,60.68132916,141.0137122,147.4670239,91.61124227,92.31376622,78.01044832,79.47490068,62.35374198,65.01739156,90.95811992,91.89515979
56.09554311,60.72094026,141.1170016,147.5752412,91.67156343,92.37570787,78.06561327,79.53068277,62.39297489,65.05900937,91.01558108,91.95291393
56.13040684,60.7603394,141.2197339,147.6828758,91.73156047,92.43731656,78.1204833,79.58616602,62.43199545,65.10040134,91.07273425,92.01035794
56.16508497,60.79952883,141.3219151,147.789934,91.79123686,92.49859585,78.17506155,79.64135362,62.47080591,65.14156991,91.12958274,92.06749513
56.19957948,60.83851078,141.4235512,147.8964219,91.85059601,92.55954925,78.22935112,79.69624872,62.50940853,65.18251747,91.18612978,92.12432876
